# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	27887
#@/user_id	nixos-ysun
bao shou 	保守	c=0 d=0.0767206 t=27887
bao shou qi jian 	保守起見	c=1 d=0.771052 t=27887
bao xian 	保險	c=2 d=1.41067 t=27887
bao xian qi jian 	保險起見	c=1 d=0.802519 t=27887
bao xiang 	爆香	c=2 d=0.127652 t=27887
bao zha 	爆炸	c=1 d=0.215456 t=27887
bao zhe 	抱着	c=1 d=0.0464212 t=27887
bao zheng 	保證	c=2 d=0.89304 t=27887
bao zi 	包子	c=0 d=0.0955997 t=27887
bei 	倍	c=1 d=0.582748 t=27887
bei 	備	c=1 d=0.980199 t=27887
bei 	唄	c=5 d=2.71879 t=27887
bei 	盃	c=2 d=1.23049 t=27887
bei 	背	c=2 d=1.23048 t=27887
bei 	被	c=50 d=5.29368 t=27887
bei bei 	杯杯	c=1 d=0.826959 t=27887
bei guan 	悲觀	c=1 d=0.529935 t=27887
bei jing 	北京	c=2 d=1.27008 t=27887
bei jing 	背景	c=2 d=0.836978 t=27887
bei jing tu 	背景圖	c=1 d=0.83527 t=27887
bei kao 	背靠	c=1 d=0.810584 t=27887
bei ni 	被你	c=2 d=1.56196 t=27887
bei po 	被迫	c=1 d=0.477114 t=27887
bei ren 	被人	c=1 d=0.540641 t=27887
bei ta 	被她	c=1 d=0.904837 t=27887
bei wo 	被我	c=2 d=1.52642 t=27887
bei xuan 	備選	c=1 d=0.806541 t=27887
bei yong 	備用	c=1 d=0.852144 t=27887
bei zhu 	備註	c=3 d=1.61619 t=27887
ben 	本	c=3 d=0.916106 t=27887
ben cang ku 	本倉庫	c=7 d=3.44149 t=27887
ben dan 	笨蛋	c=1 d=0.355226 t=27887
ben di 	本地	c=9 d=3.05959 t=27887
ben di hua 	本地化	c=2 d=1.22028 t=27887
ben ji 	本機	c=5 d=2.17156 t=27887
ben jin 	本金	c=1 d=0.794534 t=27887
ben lai 	本來	c=7 d=2.17058 t=27887
ben li 	本里	c=1 d=0.683861 t=27887
ben ren 	本人	c=2 d=0.742806 t=27887
ben shen 	本身	c=4 d=1.41151 t=27887
ben zhi 	本質	c=4 d=1.29947 t=27887
beng kui 	崩潰	c=2 d=0.759572 t=27887
beng le 	崩了	c=3 d=2.6401 t=27887
bi 	必	c=1 d=0.97531 t=27887
bi 	比	c=4 d=1.0465 t=27887
bi huan 	閉環	c=1 d=0.755784 t=27887
bi jiao 	比較	c=11 d=2.63804 t=27887
bi jiao cha 	比較差	c=2 d=1.56036 t=27887
bi jiao duo 	比較多	c=1 d=0.918512 t=27887
bi jiao hao 	比較好	c=6 d=2.67099 t=27887
bi jiao nan 	比較難	c=1 d=0.65377 t=27887
bi jing 	畢竟	c=5 d=1.81044 t=27887
bi le di 	比樂蒂	c=1 d=0.429557 t=27887
bi li 	比例	c=1 d=0.0439369 t=27887
bi mian 	避免	c=6 d=1.89592 t=27887
bi ni 	比你	c=1 d=0.946485 t=27887
bi qi 	比起	c=2 d=0.941765 t=27887
bi ren 	逼人	c=1 d=0.980199 t=27887
bi ru 	比如	c=32 d=3.55783 t=27887
bi xu 	必需	c=1 d=0.726149 t=27887
bi xu 	必須	c=3 d=1.23975 t=27887
bi yao 	必要	c=10 d=3.29007 t=27887
bi yao shi 	必要時	c=1 d=0.718924 t=27887
bi yao xing 	必要性	c=1 d=0.909373 t=27887
bi ye 	畢業	c=1 d=0.657047 t=27887
bi zhe 	逼着	c=1 d=0.847894 t=27887
bi zhi 	壁紙	c=5 d=2.35943 t=27887
bi zi 	鼻子	c=1 d=0.647265 t=27887
bian 	編	c=0 d=0.0878095 t=27887
bian 	變	c=1 d=0.882497 t=27887
bian 	邊	c=1 d=0.733447 t=27887
bian cheng 	編程	c=1 d=0.472367 t=27887
bian cheng 	變成	c=4 d=1.5612 t=27887
bian cheng yu yan 	編程語言	c=1 d=0.519442 t=27887
bian da 	變大	c=1 d=0.932394 t=27887
bian de 	變得	c=1 d=0.585669 t=27887
bian geng 	變更	c=1 d=0.865022 t=27887
bian hao 	變好	c=1 d=0.70822 t=27887
bian hua 	變化	c=3 d=1.47498 t=27887
bian ji 	編輯	c=7 d=2.7823 t=27887
bian ji qi 	編輯器	c=1 d=1 t=27887
bian jie 	邊界	c=2 d=1.63893 t=27887
bian jin qu 	編進去	c=1 d=0.882497 t=27887
bian ju 	邊距	c=0 d=0.0752014 t=27887
bian le 	變了	c=1 d=0.767206 t=27887
bian li 	便利	c=1 d=0.932394 t=27887
bian liang 	變量	c=5 d=2.25469 t=27887
bian ma 	編碼	c=0 d=0.0794534 t=27887
bian tai 	變態	c=1 d=0.744532 t=27887
bian wei 	變爲	c=1 d=0.980199 t=27887
bian xie 	編寫	c=6 d=1.56955 t=27887
bian yi 	編譯	c=17 d=5.70498 t=27887
bian yu 	便於	c=1 d=0.891366 t=27887
bian yuan 	邊緣	c=2 d=1.21039 t=27887
bian yuan ji suan 	邊緣計算	c=1 d=0.806541 t=27887
biao 	標	c=1 d=0.522046 t=27887
biao 	表	c=1 d=0.814647 t=27887
biao da 	表達	c=4 d=1.58479 t=27887
biao da kan fa 	表達看法	c=1 d=0.628135 t=27887
biao dan 	表單	c=1 d=0.923116 t=27887
biao de 	標的	c=3 d=1.3522 t=27887
biao di 	標的	c=1 d=0.375311 t=27887
biao di 	表弟	c=2 d=0.554175 t=27887
biao ji 	標記	c=1 d=0.909373 t=27887
biao pu 	標普	c=2 d=1.1949 t=27887
biao qing 	表情	c=2 d=1.55628 t=27887
biao sheng 	飆升	c=1 d=0.860708 t=27887
biao shi 	表示	c=3 d=1.17066 t=27887
biao tai 	表態	c=1 d=0.995012 t=27887
biao ti 	標題	c=3 d=1.64587 t=27887
biao xian 	表現	c=7 d=2.53408 t=27887
biao zhu 	標註	c=4 d=1.47857 t=27887
biao zhun 	標準	c=2 d=1.16178 t=27887
bie 	別	c=10 d=2.60452 t=27887
bie chu 	別處	c=1 d=0.759572 t=27887
bie ren 	別人	c=4 d=2.3686 t=27887
bie ti 	別提	c=1 d=0.822835 t=27887
bing 	並	c=27 d=6.37725 t=27887
bing 	病	c=1 d=0.054204 t=27887
bing bao 	冰雹	c=1 d=0.843665 t=27887
bing bian 	病變	c=1 d=0.88692 t=27887
bing bu 	並不	c=0 d=0.0311923 t=27887
bing bu hui 	並不會	c=1 d=0.852144 t=27887
bing bu jie yi 	並不介意	c=1 d=0.640824 t=27887
bing bu kuan yu 	並不寬裕	c=1 d=0.313486 t=27887
bing bu man yi 	並不滿意	c=1 d=0.878095 t=27887
bing bu nan 	並不難	c=1 d=0.932394 t=27887
bing bu ren tong 	並不認同	c=2 d=1.61029 t=27887
bing bu shi 	並不是	c=2 d=0.316328 t=27887
bing bu xing 	並不行	c=1 d=0.759572 t=27887
bing bu zai 	並不在	c=1 d=0.609571 t=27887
bing bu zou xiao 	並步驟笑	c=1 d=0.970446 t=27887
bing fa 	併發	c=1 d=0.826959 t=27887
bing fei 	並非	c=1 d=0.771052 t=27887
bing huang ma luan 	兵荒馬亂	c=1 d=0.65377 t=27887
bing mei you 	並沒有	c=4 d=2.31096 t=27887
bing qie 	並且	c=5 d=2.01014 t=27887
bing qing zhu yi 	並請注意	c=1 d=0.923116 t=27887
bing shuang 	冰霜	c=0 d=0.099005 t=27887
bing tang 	冰糖	c=1 d=0.782705 t=27887
bing wei 	並未	c=4 d=2.06444 t=27887
bing xing 	並行	c=5 d=1.9774 t=27887
bo cai 	菠菜	c=3 d=2.47694 t=27887
bo dong 	波動	c=0 d=0.0831104 t=27887
bo fang 	播放	c=1 d=0.955997 t=27887
bo ji 	脖幾	c=1 d=0.628135 t=27887
bo lang 	波浪	c=0 d=0.0366045 t=27887
bo lang li lun 	波浪理論	c=2 d=0.367879 t=27887
bo yi 	博弈	c=2 d=0.970446 t=27887
bo zi 	脖子	c=1 d=0.694197 t=27887
bu 	不	c=40 d=5.01578 t=27887
bu 	步	c=2 d=1.74453 t=27887
bu 	補	c=1 d=0.683861 t=27887
bu bao kuo 	不包括	c=1 d=0.771052 t=27887
bu bi 	不必	c=6 d=1.70126 t=27887
bu bi yao 	不必要	c=1 d=0.433874 t=27887
bu cheng 	不成	c=1 d=0.99005 t=27887
bu cheng li 	不成立	c=1 d=0.774916 t=27887
bu chi 	不喫	c=3 d=1.04476 t=27887
bu chi dong xi 	不喫東西	c=1 d=0.965605 t=27887
bu chong 	補充	c=8 d=1.60018 t=27887
bu chu 	不出	c=1 d=0.822835 t=27887
bu chu lai 	不出來	c=2 d=1.17726 t=27887
bu chu li 	不處理	c=1 d=0.826959 t=27887
bu cong ming 	不聰明	c=1 d=0.826959 t=27887
bu cuo 	不錯	c=6 d=2.74539 t=27887
bu cuo o 	不錯噢	c=1 d=0.913931 t=27887
bu da 	不大	c=3 d=1.21084 t=27887
bu da kai 	不打開	c=1 d=0.941765 t=27887
bu da suan 	不打算	c=1 d=0.0925506 t=27887
bu dao 	不到	c=0 d=0.116626 t=27887
bu dao chu 	不導出	c=1 d=0.852144 t=27887
bu de yi 	不得已	c=4 d=1.26896 t=27887
bu di dao 	不地道	c=1 d=0.878095 t=27887
bu ding 	不定	c=1 d=0.927743 t=27887
bu dong 	不動	c=0 d=0.11622 t=27887
bu dong 	不懂	c=1 d=0.657047 t=27887
bu du fang xiang 	不賭方向	c=1 d=0.527292 t=27887
